代碼,id,種類,食物名稱,熱量 (kcal),水分 (g),粗蛋白 (g),粗脂肪 (g),碳水化合物 (g),粗纖維(g),膳食纖維(g),灰分(g),膽固醇(mg),維生素A效力(RE),維生素E效力(αTE),維生素 B1(mg),維生素B2(mg),菸鹼素 (mg),維生素B6(mg),維生素B12(μg),維生素C (mg),鈉 (mg),鉀 (mg),鎂 (mg),磷 (mg),鐵(mg),鋅 (mg),鈣(mg)
E001400,1,蔬菜,牛蒡,98,74,2.5,0.7,21.8,1.7,6.7,1,,3.3,,0.04,0.03,0.2,0.04,,4,6,370,46,95,0.9,0.6,46
E002400,2,蔬菜,胡蘿蔔,38,89.7,1.1,0.5,7.8,0.9,2.6,0.9,,9980,,0.03,0.04,0.8,0.02,,4,79,290,16,52,0.4,0.3,30
E002601,3,蔬菜,冷凍胡蘿蔔,13,96,0.5,0.1,3,0.8,2.2,0.5,,"8,433.3",,0.03,0.03,0.17,0.01,,2.4,65,120,13,25,0.5,0.2,36
E003400,4,蔬菜,蓮藕,74,80,1.8,0.3,17,0.6,2.7,0.9,,1.7,,0.06,0,0.3,0.01,,42,17,280,13,54,0.4,0.2,20
E004400,5,蔬菜,蘿蔔,21,94,0.8,0.2,4.5,0.6,1.3,0.5,,0,,0.01,0.02,0.4,0.03,,18,23,200,10,13,0.2,0.2,27
E004502,6,蔬菜,蘿蔔乾,58,75.8,2.2,1.2,10.8,2.7,7.2,10,,0,,0.01,0.04,0.44,0.06,,0.1,3279,400,41,34,2.1,0.5,92
E005400,7,蔬菜,竹筍,22,93,2.1,0.2,3.8,0.7,2.3,0.9,,0,,0.04,0.06,0.7,0.07,,3,1,340,12,41,0.3,0.4,7
E005503,8,蔬菜,筍茸,230,65.1,1.9,24.3,5.6,6.4,2.7,3.1,,1.5,,0,0.01,0.21,0.03,,0,718,21,7,28,1,0.2,34
E005601,9,蔬菜,冷凍竹筍,17,95.1,0.9,0,3.8,0.8,1.7,0.2,,0,,0.01,0.02,0,0.08,,0,22,40,7,15,0.1,0.2,12
E006400,10,蔬菜,半天筍,31,90.9,2.2,0.2,6.2,0.6,2.5,0.6,,0,,0,0.1,0.3,,,30,23,350,30,57,0.4,1.8,33
E007400,11,蔬菜,芋莖,20,94.2,1.1,0.5,3.4,0.5,1.5,0.9,,39.2,,0.03,0.03,0.4,,,11,4,410,15,32,0.3,0.4,33
E008400,12,蔬菜,苜蓿芽,21,93.1,3.7,0.3,2.3,0.8,2,0.6,,6.7,,0.08,0.1,0.2,0.06,,4,35,300,33,93,1,0.5,35
E009400,13,蔬菜,筊白筍,22,93.5,1.5,0.2,4.3,0.6,2.1,0.6,,0.7,,0.09,0.03,0.59,,,6.5,10,180,9,43,0.3,0.3,4
